sizes,p1_difficult,p2_difficult,player_winner,total_plays,total_time,p1_medium_time_play,p1_medium_time_play_catch,p2_medium_time_play,p2_medium_time_play_catch
5,2,3,Player 2,30,14.39849328994751,0.6675859292348226,0.04461526870727539,0.8230838435036796,0.06182527542114258
5,2,0,Player 2,34,5.177879333496094,0.4211055437723796,0.01918635368347168,0.0024991300370958117,0.0006390213966369629
5,2,3,Player 2,30,14.232520580291748,0.6636741757392883,0.051133155822753906,0.8093786580221993,0.05551509062449137
5,3,2,Player 1,27,8.17522144317627,0.8555149634679159,0.04045196941920689,0.2702716588973999,0.021726012229919434
5,1,0,Player 2,28,0.2502903938293457,0.02707570791244507,0.002544363339742025,0.002147674560546875,0.0006237030029296875
5,2,3,Player 2,30,14.586613893508911,0.6731231411298116,0.048987627029418945,0.8446872574942452,0.05622601509094238
5,3,0,Player 1,29,7.650003910064697,1.0755108424595423,0.012772758801778158,0.0025582114855448404,no eat
5,0,2,Player 1,43,8.242069721221924,0.002089057649884905,0.0006251931190490723,0.49300985038280487,0.06366667747497559
5,1,2,Player 2,28,4.41717267036438,0.033548593521118164,0.0037676493326822915,0.7369749069213867,0.04818865656852722
5,3,1,Player 1,27,15.30111312866211,2.2930200497309365,0.14595547318458557,0.028795975905198317,no eat
5,3,2,Player 1,27,8.297345638275146,0.8739172617594401,0.04007295199802944,0.2712122917175293,0.023379087448120117
5,2,3,Player 2,30,14.014748096466064,0.6494316458702087,0.0432584285736084,0.8065810544150216,0.05424189567565918
5,3,1,Player 1,27,15.545078992843628,2.3328816095987954,0.14671656489372253,0.028703946333665114,no eat
5,0,1,Player 1,29,0.21242451667785645,0.0027328899928501676,0.0005276203155517578,0.020275539822048612,0.0016468365987141926
5,3,2,Player 1,27,8.3750638961792,0.8816614151000977,0.04238009452819824,0.27278296947479247,0.023758292198181152
5,1,0,Player 2,28,0.24396228790283203,0.02642291784286499,0.0025866031646728516,0.0020881096522013345,0.0005034208297729492
5,0,2,Player 1,43,8.33446717262268,0.0022474186761038645,0.0005119442939758301,0.49852392077445984,0.0643244743347168
5,0,1,Player 1,29,0.20874786376953125,0.002973863056727818,0.0005263487497965494,0.019909646775987413,0.0015285809834798176
5,2,3,Player 2,30,14.41876482963562,0.6601716081301371,0.0455319881439209,0.8445252690996442,0.05542564392089844
5,0,3,Player 2,26,8.344461441040039,0.003119969367980957,0.0008436441421508789,1.568581771850586,0.06657947812761579
