sizes,p1_difficult,p2_difficult,p1_algorithm,p2_algorithm,p1_evaluation,p2_evaluation,player_winner,total_plays,total_time,p1_medium_time_play,p1_medium_time_play_catch,p2_medium_time_play,p2_medium_time_play_catch
5,2000,100,Montecarlo,Montecarlo,NA,NA,Player 2,50,139.62120699882507,5.419370814373619,4.9673166672388716,0.2947082800023696,0.22794881463050842
5,2000,100,Montecarlo,Montecarlo,NA,NA,Player 2,50,118.78513550758362,4.757457494735718,4.366595824559529,0.2872320623958812,0.22612524032592773
5,100,2000,Montecarlo,Montecarlo,NA,NA,Player 2,28,85.67717170715332,0.40573790669441223,0.3049597144126892,7.828547835350037,4.093875408172607
5,2000,500,Montecarlo,Montecarlo,NA,NA,Player 1,43,189.77443075180054,10.540253509174693,4.838722263063703,2.3756988598750186,1.6445486545562744
5,2000,500,Montecarlo,Montecarlo,NA,NA,Player 2,28,118.4684669971466,7.4798268188129775,4.649382829666138,2.2184883753458657,1.1128872632980347
5,500,2000,Montecarlo,Montecarlo,NA,NA,Player 1,37,102.22403049468994,1.6714019536972047,0.7544842958450317,4.763940691947937,3.303686094284058
5,1000,2000,Montecarlo,Montecarlo,NA,NA,Player 2,38,119.79556035995483,2.765340586503347,1.6201933383941651,5.270998477935791,2.6167393922805786
5,2000,1000,Montecarlo,Montecarlo,NA,NA,Player 1,31,111.18369102478027,7.131472200155258,2.016897439956665,2.6803630482066763,2.3470733165740967
5,1000,2000,Montecarlo,Montecarlo,NA,NA,Player 1,51,139.83860969543457,2.1679212119844227,1.5646629631519318,3.563566885496441,3.4308246771494546
6,2000,100,Montecarlo,Montecarlo,NA,NA,Player 1,41,313.34510111808777,20.419711858034134,13.531950746263776,0.9997699856758118,0.5846764246622721
6,100,2000,Montecarlo,Montecarlo,NA,NA,Player 2,42,289.3809986114502,0.7879917254814734,0.6508162419001261,13.7384572327137,13.37240405516191
6,100,2000,Montecarlo,Montecarlo,NA,NA,Player 2,34,288.435311794281,1.0783172937539907,1.0651285648345947,20.17295174598694,16.157019209861755
6,2000,500,Montecarlo,Montecarlo,NA,NA,Player 1,63,529.1280722618103,17.500815908114117,11.194375902414322,4.021343535847134,3.3749260561806813
6,2000,500,Montecarlo,Montecarlo,NA,NA,Player 2,48,370.5246081352234,15.114478996821813,12.034955183664957,4.068946795030073,2.4939261277516684
6,2000,500,Montecarlo,Montecarlo,NA,NA,Player 1,71,461.999267578125,12.42330863362267,8.735607120725843,3.4363893440791538,1.5630303919315338
6,1000,2000,Montecarlo,Montecarlo,NA,NA,Player 2,46,686.240686416626,9.891936666825238,10.89343547821045,25.71765743602406,13.785810383883389
6,1000,2000,Montecarlo,Montecarlo,NA,NA,Player 2,48,435.3686203956604,6.126152908100801,8.744465470314026,14.054186409169978,10.631605648994446
6,1000,2000,Montecarlo,Montecarlo,NA,NA,Player 2,56,485.1176800727844,7.8615195751190186,6.184435674122402,14.853346967697144,8.196277141571045
