sizes,p1_difficult,p2_difficult,p1_algorithm,p2_algorithm,p1_evaluation,p2_evaluation,player_winner,total_plays,total_time,p1_medium_time_play,p1_medium_time_play_catch,p2_medium_time_play,p2_medium_time_play_catch
7,100,500,Montecarlo,Montecarlo,NA,500,Player 2,86,344.9043426513672,1.2787405071836528,1.6939612494574652,6.748638451099396,6.042622225625174
5,100,1000,Montecarlo,Montecarlo,NA,1000,Player 2,38,46.53126120567322,0.308790644009908,0.19730516274770102,2.698088429190896,1.3196797370910645
5,1000,100,Montecarlo,Montecarlo,NA,100,Player 1,25,37.71655297279358,4.613835000991822,1.4582754373550415,0.28016802242824007,0.3031158447265625
5,100,1000,Montecarlo,Montecarlo,NA,1000,Player 1,35,45.08386993408203,0.37771718502044677,0.18504559993743896,2.6646002332369485,2.5579985777537027
6,100,1000,Montecarlo,Montecarlo,NA,1000,Player 2,42,146.68690848350525,0.7251696268717448,0.6818526268005372,7.0833935207790795,5.9625890254974365
6,1000,100,Montecarlo,Montecarlo,NA,100,Player 1,57,176.1782248020172,6.100286990404129,4.9813109503851996,0.5886537327485926,0.4873606136866978
6,1000,100,Montecarlo,Montecarlo,NA,100,Player 1,42,142.34550499916077,7.0686837037404375,5.726772281858656,0.544629848920382,0.7692393779754638
7,100,1000,Montecarlo,Montecarlo,NA,1000,Player 2,52,356.62479066848755,1.8728682001431782,1.2850937162126814,16.662624491585625,13.789185404777527
7,1000,100,Montecarlo,Montecarlo,NA,100,Player 2,76,473.935405254364,15.066275662846035,11.83345444202423,1.5150918006896972,0.9893109798431396
7,1000,100,Montecarlo,Montecarlo,NA,100,Player 1,59,393.66837191581726,16.2815355520982,10.177470775750967,1.3839366812455027,1.0509824355443318
5,500,1000,Montecarlo,Montecarlo,NA,1000,Player 1,31,63.636666774749756,1.8149235248565674,1.320645531018575,3.4887034628126354,2.387893497943878
5,500,1000,Montecarlo,Montecarlo,NA,1000,Player 1,45,81.21219515800476,1.3559985160827637,1.4304434061050415,3.1540307658059255,1.3041144609451294
5,500,1000,Montecarlo,Montecarlo,NA,1000,Player 2,34,63.75336265563965,1.6107668226415461,1.0791500568389893,3.0006728967030845,1.873894453048706
6,1000,500,Montecarlo,Montecarlo,NA,500,Player 2,52,281.6427927017212,7.505270832463315,7.658974210421245,4.59865311213902,2.3261776620691474
6,1000,500,Montecarlo,Montecarlo,NA,500,Player 2,54,231.6827471256256,6.9381184577941895,5.766235788663228,3.583729175420908,2.421186579598321
6,1000,500,Montecarlo,Montecarlo,NA,500,Player 1,43,219.076762676239,12.078133265177408,3.302597761154175,4.209219162280743,2.684369921684265
7,500,1000,Montecarlo,Montecarlo,NA,1000,Player 1,71,763.0426754951477,9.885514347176803,5.714435815811157,17.005978429317473,15.815864562988281
7,500,1000,Montecarlo,Montecarlo,NA,1000,Player 1,79,665.9391679763794,7.569651386012202,6.688441067934036,16.343679177133662,10.087472525509922
7,500,1000,Montecarlo,Montecarlo,NA,1000,Player 2,70,733.9053919315338,7.739987798359083,6.943811787499322,16.741476130485534,10.348048587640127
8,1000,1000,Montecarlo,Montecarlo,NA,1000,Player 1,123,3146.7131333351135,29.706941950321198,21.162582810719808,29.04632172933439,21.301760801902184
5,2,100,Minimax,Montecarlo,1,100,Player 2,26,3.921797752380371,0.039053887128829956,0.0,0.37126028537750244,0.2965780666896275
5,2,100,Minimax,Montecarlo,1,100,Player 2,24,3.174461841583252,0.03569974218096052,0.0039054155349731445,0.39093446731567383,0.21506264805793762
5,2,100,Minimax,Montecarlo,1,100,Player 2,22,3.44901967048645,0.03324430329459054,0.0002828836441040039,0.4334663550059001,0.23934736847877502
5,5,100,Minimax,Montecarlo,1,100,Player 2,32,13.963201999664307,1.2239517271518707,0.01563107967376709,0.40641164779663086,0.17128067016601561
5,100,5,Montecarlo,Minimax,NA,5,Player 2,42,12.36353087425232,0.24164331876314604,0.15853512287139893,0.6497221191724142,0.016152211597987583
5,100,5,Montecarlo,Minimax,NA,5,Player 2,44,14.05372428894043,0.286908836925731,0.16152389844258627,0.6397504256321833,0.026788132531302317
5,7,100,Minimax,Montecarlo,1,100,Player 2,34,244.985778093338,23.28973569869995,1.3077529271443684,0.4397566616535187,0.15349044799804687
5,100,7,Montecarlo,Minimax,NA,7,Player 2,48,354.3128008842468,0.3698935257761102,0.2657632827758789,20.154668986797333,2.2085786206381663
